Company	Investor	category_list	raised_amount_usd	Valuation ($B)	funded_at	Country	Industry	Select Investors
17zuoye	DST Global	Education|Language Learning	20000000	Edtech	China	Temasek Holdings, H Capital, Shunwei Fund
Gusto	Google Capital	Financial Services|Personal Finance|Software	60000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Google Ventures	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Jawed Karim	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Jeremy Stoppelman	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Joshua Schachter	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Julia Popowitz	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Kleiner Perkins Caufield & Byers	Financial Services|Personal Finance|Software	20000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Kleiner Perkins Caufield & Byers	Financial Services|Personal Finance|Software	60000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Kris Duggan	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Larry Augustin	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Lee Linden	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Mark Leslie	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Obvious Ventures	Financial Services|Personal Finance|Software	20000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Paul Buchheit	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Pejman Nozad	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Ram Shriram	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Ribbit Capital	Financial Services|Personal Finance|Software	60000000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Salesforce Ventures	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Sherpalo Ventures	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Signatures Capital	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Start Fund	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Tien Tzuo	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
Gusto	Y Combinator	Financial Services|Personal Finance|Software	6100000	HR Tech	USA	Emergence Capital Partners, General Catalyst Partners, A-Grade	Unicorn (12/18/2015)
HelloFresh	Baillie Gifford	Content Delivery|Hospitality|Recipes|Specialty Foods	85000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	HV Holtzbrinck Ventures	Content Delivery|Hospitality|Recipes|Specialty Foods	10000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	HV Holtzbrinck Ventures	Content Delivery|Hospitality|Recipes|Specialty Foods	7500000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Insight Venture Partners	Content Delivery|Hospitality|Recipes|Specialty Foods	50000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Investment AB Kinnevik	Content Delivery|Hospitality|Recipes|Specialty Foods	10000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Phenomen Ventures	Content Delivery|Hospitality|Recipes|Specialty Foods	50000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Phenomen Ventures	Content Delivery|Hospitality|Recipes|Specialty Foods	7500000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Rocket Internet	Content Delivery|Hospitality|Recipes|Specialty Foods	10000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Rocket Internet	Content Delivery|Hospitality|Recipes|Specialty Foods	126000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Vorwerk Direct Selling Ventures	Content Delivery|Hospitality|Recipes|Specialty Foods	10000000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HelloFresh	Vorwerk Direct Selling Ventures	Content Delivery|Hospitality|Recipes|Specialty Foods	7500000	E-Commerce	Germany	Insight Venture Partners, Phenomen Ventures, Rocket Internet	Unicorn (9/17/2015)
HotelTonight	Accel	Hotels|Mobile|Travel	23000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Accel	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Accel	Hotels|Mobile|Travel	45000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Accel	Hotels|Mobile|Travel	9100000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Battery Ventures	Hotels|Mobile|Travel	23000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Battery Ventures	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Battery Ventures	Hotels|Mobile|Travel	45000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Battery Ventures	Hotels|Mobile|Travel	9100000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Brad Gerstner	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Coatue Management	Hotels|Mobile|Travel	45000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Erik Blachford	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	First Round	Hotels|Mobile|Travel	23000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	First Round	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	First Round	Hotels|Mobile|Travel	45000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	First Round	Hotels|Mobile|Travel	9100000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Founder Collective	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	GGV Capital	Hotels|Mobile|Travel	45000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Hugh Crean	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	Rich Barton	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	SV Angel	Hotels|Mobile|Travel	3585000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	U.S. Venture Partners (USVP)	Hotels|Mobile|Travel	23000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
HotelTonight	U.S. Venture Partners (USVP)	Hotels|Mobile|Travel	45000000	On-Demand	USA	Accel Partners, Battery Ventures, GGV Capital	
Intercom	500 Startups	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	500 Startups	Software	750000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Andy McLoughlin	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Bessemer Venture Partners	Software	23000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Bessemer Venture Partners	Software	35000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Biz Stone	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Caelen King	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Conor Stanley	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	DG Incubation	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Dan Martell	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	David Coallier	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	David Hauser	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	David Sacks	Software	6000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Digital Garage	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Eamon Leonard	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Freestyle Capital	Software	6000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Freestyle Capital	Software	750000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Iconiq Capital	Software	35000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Jonathan Siegel	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Jonathan Strauss	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Oyster Technology Investments	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Paddy Holahan	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Roham Gharegozlou	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Social Capital	Software	23000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Social Capital	Software	35000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Social Capital	Software	6000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Intercom	Stuart Coulson	Software	1000000	Internet Software & Services	USA	The Social+Capital Partnership, Iconiq Capital, Bessemer Venture Partners	Raised Series C-II (4/7/2016)
Mixpanel	Andreessen Horowitz	Mobile Analytics	10250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Andreessen Horowitz	Mobile Analytics	65000000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	David Sacks	Mobile Analytics	10250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Keith Rabois	Mobile Analytics	1250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Marc Benioff	Mobile Analytics	10250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Max Levchin	Mobile Analytics	10250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Max Levchin	Mobile Analytics	1250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Max Levchin	Mobile Analytics	500000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Michael Birch	Mobile Analytics	1250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Michael Birch	Mobile Analytics	500000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Sequoia Capital	Mobile Analytics	1250000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Sequoia Capital	Mobile Analytics	15000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Mixpanel	Y Combinator	Mobile Analytics	15000	Internet Software & Services	USA	Andreessen Horowitz, Sequoia Capital, Y Combinator	
Munchery	137 Ventures	Hospitality	85000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Anthony Saleh	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Anthos Capital	Hospitality	200000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Bobby Yazdani	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Eric Ries	Hospitality	4000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Greycroft Partners	Hospitality	85000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Howard Behar	Hospitality	4000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Jon Favreau	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Justin Mateen	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Matt Mullenweg	Hospitality	4000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Menlo Ventures	Hospitality	200000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Menlo Ventures	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Menlo Ventures	Hospitality	4000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Menlo Ventures	Hospitality	85000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Mousse Partners	Hospitality	85000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Northgate Capital	Hospitality	85000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Roadstruck	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Roy Choi	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Sherpa Capital	Hospitality	200000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Sherpa Capital	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Sherpa Capital	Hospitality	4000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Sherpa Capital	Hospitality	85000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Signatures Capital	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	Tom Peterson	Hospitality	4000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	e.ventures	Hospitality	28000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	e.ventures	Hospitality	4000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
Munchery	e.ventures	Hospitality	85000000	E-Commerce	USA	Greycroft Partners, Menlo Ventures, Sherpa Ventures	
OYO Rooms	DSG Consumer Partners	Hospitality|Online Reservations	650000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	Greenoaks Capital	Hospitality|Online Reservations	100000000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	Greenoaks Capital	Hospitality|Online Reservations	25000000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	Lightspeed	Hospitality|Online Reservations	650000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	Lightspeed Venture Partners	Hospitality|Online Reservations	100000000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	Lightspeed Venture Partners	Hospitality|Online Reservations	25000000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	Sequoia Capital	Hospitality|Online Reservations	100000000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	Sequoia Capital	Hospitality|Online Reservations	25000000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
OYO Rooms	SoftBank	Hospitality|Online Reservations	100000000	Internet Software & Services	India	Sequoia Capital India, Lightspeed Venture Partners, Softbank Corp.	
Okta	Altimeter Capital	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Altimeter Capital	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Andreessen Horowitz	Enterprise Software	10000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Andreessen Horowitz	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Andreessen Horowitz	Enterprise Software	25000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Andreessen Horowitz	Enterprise Software	27000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Andreessen Horowitz	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Andreessen Horowitz	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Avid Larizadeh	Enterprise Software	10000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Dharmesh Shah	Enterprise Software	10000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Ed Roberts	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	FLOODGATE	Enterprise Software	10000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	FLOODGATE	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Glynn Capital Management	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Greylock Partners	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Greylock Partners	Enterprise Software	25000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Greylock Partners	Enterprise Software	27000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Greylock Partners	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Greylock Partners	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Jacques & Sandra Kerrest	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Janus Capital Group	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Khosla Ventures	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Khosla Ventures	Enterprise Software	25000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Khosla Ventures	Enterprise Software	27000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Khosla Ventures	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Khosla Ventures	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Maynard Webb	Enterprise Software	10000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	SV Angel	Enterprise Software	10000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Sequoia Capital	Enterprise Software	25000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Sequoia Capital	Enterprise Software	27000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Sequoia Capital	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Sequoia Capital	Enterprise Software	75000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Stephen Marcus	Enterprise Software	10000000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Tom Berson	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
Okta	Webb Investment Network	Enterprise Software	16500000	Cybersecurity	USA	Greylock Partners, Khosla Ventures, Floodgate	Unicorn (9/8/2015)
One Medical Group	Benchmark	Doctors|Health Care|Medical	15000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Benchmark	Doctors|Health Care|Medical	20000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Benchmark	Doctors|Health Care|Medical	30000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Benchmark	Doctors|Health Care|Medical	3500000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Benchmark	Doctors|Health Care|Medical	40000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Benchmark	Doctors|Health Care|Medical	8000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	DAG Ventures	Doctors|Health Care|Medical	15000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	DAG Ventures	Doctors|Health Care|Medical	20000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	DAG Ventures	Doctors|Health Care|Medical	40000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	DAG Ventures	Doctors|Health Care|Medical	8000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Google Ventures	Doctors|Health Care|Medical	30000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Google Ventures	Doctors|Health Care|Medical	40000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Maverick Capital	Doctors|Health Care|Medical	20000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Maverick Capital	Doctors|Health Care|Medical	30000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Maverick Capital	Doctors|Health Care|Medical	40000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
One Medical Group	Oak Investment Partners	Doctors|Health Care|Medical	15000000	Healthcare	USA	Benchmark Capital, DAG Ventures, Oak Investment Partners	Raised Series H (12/8/2015)
